from,to,distance
438,438,1.0
438,428,0.952363
438,537,0.710392
438,491,0.726913
438,502,0.573646
438,229,0.882024
438,394,0.824378
438,291,0.65963
438,474,0.549529
438,350,0.725849
438,301,0.90498
438,252,0.592728
438,293,0.904211
438,2003,0.785788
438,161,0.717062
438,251,0.719456
438,307,0.57766
438,285,0.783516
438,445,0.963687
438,504,0.884015
438,361,0.569688
438,403,0.899401
438,265,0.800187
438,497,0.721529
438,300,0.95882
438,487,0.667027
438,128,0.568998
438,368,0.530535
438,432,0.979822
438,236,0.992236
438,335,0.850683
438,410,0.904549
438,336,0.637329
438,461,0.788716
438,444,0.567066
438,312,0.863234
438,325,0.858567
438,511,0.85421
438,294,0.752998
438,341,0.522281
438,250,0.737524
438,302,0.687519
438,340,0.597401
438,266,0.710941
438,546,0.52431
438,174,0.546329
438,280,0.676979
438,402,0.624613
438,475,0.857955
438,433,0.921902
438,496,0.633282
438,483,0.902267
438,342,0.645241
438,237,0.975772
438,356,0.69027
438,151,0.586161
438,326,0.983121
438,311,0.747611
438,382,0.728754
438,507,0.596263
438,393,0.825769
438,545,0.631331
438,375,0.768797
438,540,0.63646
438,317,0.917244
438,303,0.568986
438,411,0.694802
438,400,0.765456
438,357,0.817766
438,503,0.766986
438,349,0.790146
438,401,0.780998
438,369,0.531618
438,439,0.946175
438,150,0.787931
438,473,0.746557
438,254,0.50279
438,531,0.64559
438,348,0.541695
438,339,0.731544
438,297,0.901718
428,438,0.952363
428,428,1.0
428,537,0.522504
428,491,0.565848
428,502,0.606852
428,229,0.87636
428,394,0.820058
428,268,0.588234
428,291,0.692402
428,350,0.843727
428,296,0.507272
428,301,0.926023
428,252,0.55958
428,293,0.880922
428,2003,0.602407
428,161,0.68469
428,251,0.882914
428,307,0.763183
428,285,0.75296
428,445,0.864695
428,504,0.720918
428,361,0.755757
428,403,0.982203
428,265,0.938845
428,497,0.689245
428,300,0.942287
428,128,0.584981
428,432,0.94738
428,236,0.96637
428,335,0.823343
428,410,0.925636
428,263,0.643366
428,295,0.650933
428,336,0.604118
428,461,0.605668
428,444,0.534111
428,312,0.973917
428,325,0.688085
428,331,0.603558
428,511,0.682642
428,294,0.721464
428,341,0.555109
428,250,0.896317
428,302,0.719837
428,340,0.776666
428,266,0.742746
428,280,0.644022
428,2004,0.59978
428,402,0.591383
428,475,0.816036
428,433,0.774046
428,496,0.600062
428,483,0.878798
428,342,0.678185
428,237,0.920429
428,356,0.722534
428,151,0.771025
428,326,0.883837
428,311,0.903591
428,382,0.69662
428,257,0.501567
428,393,0.852968
428,375,0.803002
428,2010,0.585927
428,317,0.936968
428,303,0.755099
428,411,0.726974
428,400,0.795552
428,357,0.788643
428,503,0.714312
428,349,0.8192
428,401,0.926526
428,412,0.667407
428,439,0.978333
428,150,0.817086
428,473,0.902838
428,531,0.823567
428,348,0.713136
428,339,0.685502
428,297,0.826614
537,438,0.710392
537,428,0.522504
537,537,1.0
537,482,0.6362
537,491,0.988003
537,442,0.633273
537,465,0.592026
537,474,0.903327
537,153,0.702111
537,301,0.551979
537,293,0.617782
537,2003,0.841963
537,498,0.769335
537,285,0.766685
537,445,0.657777
537,492,0.612948
537,435,0.793199
537,504,0.826286
537,497,0.862904
537,300,0.560969
537,223,0.558746
537,487,0.659672
537,116,0.536621
537,432,0.699629
537,236,0.680244
537,536,0.842866
537,518,0.562408
537,453,0.514423
537,284,0.506285
537,461,0.930775
537,444,0.914868
537,505,0.74051
537,325,0.962968
537,511,0.596501
537,318,0.532213
537,476,0.891809
537,379,0.626345
537,526,0.889286
537,527,0.757431
537,528,0.84963
537,486,0.828376
537,472,0.904533
537,493,0.579275
537,546,0.953262
537,533,0.645731
537,174,0.874372
537,267,0.701512
537,334,0.665705
537,168,0.809754
537,280,0.571201
537,362,0.679433
537,402,0.947982
537,475,0.88172
537,433,0.703449
537,496,0.801108
537,483,0.751027
537,519,0.573658
537,484,0.54479
537,517,0.633941
537,237,0.764873
537,167,0.616336
537,326,0.813531
537,345,0.61522
537,382,0.737153
537,507,0.949005
537,2012,0.892209
537,545,0.847554
537,540,0.992385
537,466,0.808692
537,470,0.52886
537,317,0.570807
537,501,0.61079
537,357,0.671722
537,503,0.950356
537,485,0.815744
537,446,0.647063
537,160,0.719525
537,439,0.510503
537,254,0.539306
537,297,0.8725
482,537,0.6362
482,482,1.0
482,491,0.679666
482,442,0.755676
482,358,0.703063
482,229,0.589031
482,474,0.558704
482,252,0.897499
482,293,0.582847
482,161,0.797757
482,347,0.541407
482,521,0.654972
482,285,0.732344
482,492,0.525737
482,435,0.90574
482,404,0.908773
482,489,0.719584
482,490,0.584364
482,497,0.793641
482,223,0.991854
482,116,0.96388
482,128,0.644156
482,368,0.784964
482,380,0.869605
482,335,0.65548
482,453,0.947673
482,284,0.977003
482,336,0.86496
482,212,0.794811
482,388,0.71143
482,444,0.739826
482,325,0.580403
482,294,0.763531
482,379,0.586543
482,459,0.646939
482,250,0.553018
482,463,0.899053
482,486,0.583411
482,458,0.571184
482,405,0.873146
482,346,0.849425
482,334,0.955995
482,168,0.955598
482,280,0.832999
482,462,0.753312
482,402,0.81786
482,475,0.646329
482,496,0.868062
482,483,0.585737
482,151,0.510921
482,345,0.955188
482,238,0.764356
482,434,0.890552
482,382,0.786903
482,383,0.956288
482,507,0.505514
482,509,0.874168
482,375,0.67883
482,540,0.561312
482,466,0.763204
482,525,0.52036
482,512,0.790072
482,470,0.960411
482,303,0.644144
482,357,0.694725
482,503,0.749491
482,369,0.893201
482,225,0.800673
482,446,0.853668
482,494,0.838229
482,247,0.854386
482,448,0.545726
482,254,0.951552
482,348,0.616707
482,297,0.586548
482,127,0.674249
491,438,0.726913
491,428,0.565848
491,537,0.988003
491,482,0.679666
491,491,1.0
491,442,0.725852
491,465,0.685786
491,474,0.957261
491,153,0.659006
491,477,0.518216
491,293,0.661441
491,2003,0.759405
491,498,0.850627
491,521,0.559583
491,285,0.80603
491,445,0.563736
491,492,0.706226
491,435,0.871107
491,504,0.741659
491,404,0.503488
491,490,0.551609
491,497,0.895087
491,300,0.604696
491,223,0.60246
491,487,0.565637
491,116,0.630541
491,432,0.606169
491,236,0.722887
491,536,0.805903
491,518,0.519113
491,335,0.500665
491,453,0.607964
491,284,0.549368
491,461,0.86705
491,444,0.965119
491,505,0.825262
491,325,0.939277
491,511,0.503243
491,476,0.859264
491,379,0.719188
491,526,0.899373
491,527,0.715856
491,463,0.515925
491,528,0.813182
491,486,0.900312
491,523,0.531719
491,472,0.873451
491,493,0.53576
491,546,0.929765
491,533,0.737766
491,174,0.797059
491,267,0.78997
491,334,0.756679
491,168,0.846448
491,280,0.614973
491,362,0.769538
491,402,0.970511
491,475,0.911881
491,433,0.610091
491,496,0.838397
491,483,0.791154
491,519,0.53021
491,484,0.501789
491,517,0.590152
491,237,0.804313
491,167,0.57256
491,326,0.739342
491,345,0.658898
491,434,0.503997
491,382,0.777901
491,507,0.891651
491,2012,0.81846
491,545,0.765803
491,540,0.980999
491,466,0.884124
491,470,0.622675
491,501,0.567034
491,357,0.714566
491,503,0.969984
491,485,0.776962
491,446,0.739034
491,160,0.676799
491,494,0.583704
491,439,0.55366
491,254,0.582859
491,297,0.903685
442,537,0.633273
442,482,0.755676
442,491,0.725852
442,442,1.0
442,229,0.522014
442,465,0.647099
442,474,0.880307
442,153,0.580133
442,477,0.723412
442,252,0.534239
442,293,0.515946
442,498,0.901278
442,521,0.96235
442,285,0.666569
442,529,0.716338
442,492,0.928404
442,435,0.954976
442,404,0.581555
442,479,0.633475
442,489,0.782758
442,490,0.958743
442,497,0.731217
442,223,0.681092
442,116,0.76368
442,478,0.548699
442,335,0.578654
442,453,0.915323
442,284,0.628217
442,212,0.633662
442,388,0.775089
442,444,0.867102
442,505,0.899715
442,325,0.513552
442,294,0.570802
442,476,0.606572
442,379,0.960353
442,526,0.839834
442,459,0.713362
442,463,0.672813
442,488,0.840313
442,495,0.6067
442,486,0.943123
442,458,0.638663
442,523,0.824006
442,472,0.748741
442,546,0.742817
442,533,0.743806
442,267,0.822843
442,334,0.904311
442,168,0.904871
442,280,0.693371
442,362,0.795907
442,462,0.814118
442,402,0.820508
442,475,0.578857
442,496,0.81307
442,483,0.51878
442,517,0.511877
442,515,0.706022
442,345,0.735899
442,434,0.737928
442,382,0.724006
442,383,0.577738
442,509,0.863006
442,540,0.645083
442,466,0.954783
442,525,0.587347
442,512,0.897098
442,470,0.859874
442,357,0.627824
442,503,0.68445
442,2021,0.570686
442,485,0.702287
442,225,0.540572
442,446,0.98285
442,160,0.598102
442,494,0.972274
442,448,0.713241
442,254,0.661715
442,508,0.5154
442,297,0.519576
224,224,1.0
224,360,0.903674
224,306,0.979495
224,534,0.636804
224,268,0.730759
224,296,0.8058
224,427,0.570271
224,307,0.553876
224,347,0.52546
224,361,0.561821
224,260,0.712445
224,128,0.56251
224,387,0.991727
224,426,0.71881
224,264,0.935493
